channel_count,stimulus,distribution,sensitivity,peak,rms,crest_db,rail_voltage,rail_stress,memory,headroom_gain,concentration,distribution_stress
1,multitone,distributed,0,0.993912,0.730261,2.6774,0.915473,0.241504,0.151606,0.905723,1,0
1,multitone,concentrated,0,0.993912,0.730261,2.6774,0.915473,0.241504,0.151606,0.905723,1,0
1,transient_burst,distributed,0,0.999234,0.251028,11.9989,0.890067,0.314094,0.209573,0.891138,1,0
1,transient_burst,concentrated,0,0.999234,0.251028,11.9989,0.890067,0.314094,0.209573,0.891138,1,0
1,lf_heavy,distributed,0,0.999252,0.902386,0.885653,0.830226,0.485067,0.287779,0.850872,1,0
1,lf_heavy,concentrated,0,0.999252,0.902386,0.885653,0.830226,0.485067,0.287779,0.850872,1,0
1,hf_heavy,distributed,0,0.991787,0.786344,2.01612,0.921772,0.223509,0.150224,0.911167,1,0
1,hf_heavy,concentrated,0,0.991787,0.786344,2.01612,0.921772,0.223509,0.150224,0.911167,1,0
1,two_tone_imd,distributed,0,0.993587,0.758211,2.34832,0.904122,0.273938,0.165564,0.897705,1,0
1,two_tone_imd,concentrated,0,0.993587,0.758211,2.34832,0.904122,0.273938,0.165564,0.897705,1,0
2,multitone,distributed,0,0.994048,0.730684,2.67355,0.910133,0.256764,0.151606,0.890613,0.5,0.5
2,multitone,concentrated,0,0.994048,0.730684,2.67355,0.910133,0.256764,0.151606,0.890613,1,0
2,transient_burst,distributed,0,0.999286,0.257212,11.788,0.883121,0.33394,0.209573,0.87553,0.5,0.5
2,transient_burst,concentrated,0,0.999286,0.257212,11.788,0.883121,0.33394,0.209573,0.87553,1,0
2,lf_heavy,distributed,0,0.999325,0.903695,0.873701,0.819499,0.515716,0.287779,0.834538,0.5,0.5
2,lf_heavy,concentrated,0,0.999325,0.903695,0.873701,0.819499,0.515716,0.287779,0.834538,1,0
2,hf_heavy,distributed,0,0.99206,0.786454,2.01728,0.916829,0.237632,0.150224,0.896129,0.5,0.5
2,hf_heavy,concentrated,0,0.99206,0.786454,2.01728,0.916829,0.237632,0.150224,0.896129,1,0
2,two_tone_imd,distributed,0,0.993908,0.758992,2.34219,0.898064,0.291247,0.165564,0.882416,0.5,0.5
2,two_tone_imd,concentrated,0,0.993908,0.758992,2.34219,0.898064,0.291247,0.165564,0.882416,1,0
4,multitone,distributed,0,0.994382,0.731333,2.66876,0.90258,0.278344,0.151606,0.870085,0.25,0.75
4,multitone,concentrated,0,0.994382,0.731333,2.66876,0.90258,0.278344,0.151606,0.870085,1,0
4,transient_burst,distributed,0,0.999354,0.266317,11.4864,0.873298,0.362006,0.209573,0.854367,0.25,0.75
4,transient_burst,concentrated,0,0.999354,0.266317,11.4864,0.873298,0.362006,0.209573,0.854367,1,0
4,lf_heavy,distributed,0,0.999419,0.905499,0.85719,0.804329,0.55906,0.287779,0.812481,0.25,0.75
4,lf_heavy,concentrated,0,0.999419,0.905499,0.85719,0.804329,0.55906,0.287779,0.812481,1,0
4,hf_heavy,distributed,0,0.992442,0.786656,2.01841,0.909839,0.257604,0.150224,0.875691,0.25,0.75
4,hf_heavy,concentrated,0,0.992442,0.786656,2.01841,0.909839,0.257604,0.150224,0.875691,1,0
4,two_tone_imd,distributed,0,0.994345,0.760132,2.33297,0.889496,0.315726,0.165564,0.861663,0.25,0.75
4,two_tone_imd,concentrated,0,0.994345,0.760132,2.33297,0.889496,0.315726,0.165564,0.861663,1,0
8,multitone,distributed,0,0.994838,0.732339,2.66081,0.891898,0.308863,0.151606,0.842618,0.125,0.875
8,multitone,concentrated,0,0.994838,0.732339,2.66081,0.891898,0.308863,0.151606,0.842618,1,0
8,transient_burst,distributed,0,0.999441,0.279902,11.055,0.859406,0.401698,0.209573,0.826128,0.125,0.875
8,transient_burst,concentrated,0,0.999441,0.279902,11.055,0.859406,0.401698,0.209573,0.826128,1,0
8,lf_heavy,distributed,0,0.999531,0.907965,0.834544,0.782874,0.620359,0.287779,0.783206,0.125,0.875
8,lf_heavy,concentrated,0,0.999531,0.907965,0.834544,0.782874,0.620359,0.287779,0.783206,1,0
8,hf_heavy,distributed,0,0.992974,0.787023,2.01901,0.899953,0.285848,0.150224,0.848329,0.125,0.875
8,hf_heavy,concentrated,0,0.992974,0.787023,2.01901,0.899953,0.285848,0.150224,0.848329,1,0
8,two_tone_imd,distributed,0,0.994927,0.761809,2.3189,0.87738,0.350343,0.165564,0.833925,0.125,0.875
8,two_tone_imd,concentrated,0,0.994927,0.761809,2.3189,0.87738,0.350343,0.165564,0.833925,1,0
16,multitone,distributed,0,0.995449,0.733912,2.6475,0.876792,0.352024,0.151606,0.806608,0.0625,0.9375
16,multitone,concentrated,0,0.995449,0.733912,2.6475,0.876792,0.352024,0.151606,0.806608,1,0
16,transient_burst,distributed,0,0.999546,0.300472,10.44,0.839759,0.457832,0.209573,0.789236,0.0625,0.9375
16,transient_burst,concentrated,0,0.999546,0.300472,10.44,0.839759,0.457832,0.209573,0.789236,1,0
16,lf_heavy,distributed,0,0.999656,0.911303,0.80375,0.752534,0.707047,0.287779,0.745232,0.0625,0.9375
16,lf_heavy,concentrated,0,0.999656,0.911303,0.80375,0.752534,0.707047,0.287779,0.745232,1,0
16,hf_heavy,distributed,0,0.993698,0.787683,2.01807,0.885972,0.325793,0.150224,0.812428,0.0625,0.9375
16,hf_heavy,concentrated,0,0.993698,0.787683,2.01807,0.885972,0.325793,0.150224,0.812428,1,0
16,two_tone_imd,distributed,0,0.995675,0.764293,2.29716,0.860245,0.3993,0.165564,0.797614,0.0625,0.9375
16,two_tone_imd,concentrated,0,0.995675,0.764293,2.29716,0.860245,0.3993,0.165564,0.797614,1,0
24,multitone,distributed,0,0.995886,0.735221,2.63583,0.8652,0.385142,0.151606,0.780998,0.0416667,0.958333
24,multitone,concentrated,0,0.995886,0.735221,2.63583,0.8652,0.385142,0.151606,0.780998,1,0
24,transient_burst,distributed,0,0.999614,0.317269,9.96809,0.824684,0.500904,0.209573,0.763088,0.0416667,0.958333
24,transient_burst,concentrated,0,0.999614,0.317269,9.96809,0.824684,0.500904,0.209573,0.763088,1,0
24,lf_heavy,distributed,0,0.999729,0.913762,0.780988,0.729252,0.773566,0.287779,0.7185,0.0416667,0.958333
24,lf_heavy,concentrated,0,0.999729,0.913762,0.780988,0.729252,0.773566,0.287779,0.7185,1,0
24,hf_heavy,distributed,0,0.994227,0.788282,2.01608,0.875245,0.356443,0.150224,0.786877,0.0416667,0.958333
24,hf_heavy,concentrated,0,0.994227,0.788282,2.01608,0.875245,0.356443,0.150224,0.786877,1,0
24,two_tone_imd,distributed,0,0.996191,0.766275,2.27916,0.847097,0.436866,0.165564,0.771827,0.0416667,0.958333
24,two_tone_imd,concentrated,0,0.996191,0.766275,2.27916,0.847097,0.436866,0.165564,0.771827,1,0
1,multitone,distributed,0.25,0.993912,0.730261,2.6774,0.915473,0.241504,0.151606,0.905723,1,0
1,multitone,concentrated,0.25,0.993912,0.730261,2.6774,0.915473,0.241504,0.151606,0.905723,1,0
1,transient_burst,distributed,0.25,0.999234,0.251028,11.9989,0.890067,0.314094,0.209573,0.891138,1,0
1,transient_burst,concentrated,0.25,0.999234,0.251028,11.9989,0.890067,0.314094,0.209573,0.891138,1,0
1,lf_heavy,distributed,0.25,0.999252,0.902386,0.885653,0.830226,0.485067,0.287779,0.850872,1,0
1,lf_heavy,concentrated,0.25,0.999252,0.902386,0.885653,0.830226,0.485067,0.287779,0.850872,1,0
1,hf_heavy,distributed,0.25,0.991787,0.786344,2.01612,0.921772,0.223509,0.150224,0.911167,1,0
1,hf_heavy,concentrated,0.25,0.991787,0.786344,2.01612,0.921772,0.223509,0.150224,0.911167,1,0
1,two_tone_imd,distributed,0.25,0.993587,0.758211,2.34832,0.904122,0.273938,0.165564,0.897705,1,0
1,two_tone_imd,concentrated,0.25,0.993587,0.758211,2.34832,0.904122,0.273938,0.165564,0.897705,1,0
2,multitone,distributed,0.25,0.99499,0.737968,2.59562,0.898899,0.288859,0.151606,0.883604,0.5,0.5
2,multitone,concentrated,0.25,0.994048,0.730684,2.67355,0.910133,0.256764,0.151606,0.890613,1,0
2,transient_burst,distributed,0.25,0.999394,0.271046,11.3339,0.868511,0.375683,0.209573,0.866739,0.5,0.5
2,transient_burst,concentrated,0.25,0.999286,0.257212,11.788,0.883121,0.33394,0.209573,0.87553,1,0
2,lf_heavy,distributed,0.25,0.999554,0.908886,0.825935,0.796937,0.580181,0.287779,0.822263,0.5,0.5
2,lf_heavy,concentrated,0.25,0.999325,0.903695,0.873701,0.819499,0.515716,0.287779,0.834538,1,0
2,hf_heavy,distributed,0.25,0.993206,0.792492,1.96089,0.906433,0.267336,0.150224,0.889558,0.5,0.5
2,hf_heavy,concentrated,0.25,0.99206,0.786454,2.01728,0.916829,0.237632,0.150224,0.896129,1,0
2,two_tone_imd,distributed,0.25,0.994974,0.765726,2.27477,0.885321,0.327653,0.165564,0.874619,0.5,0.5
2,two_tone_imd,concentrated,0.25,0.993908,0.758992,2.34219,0.898064,0.291247,0.165564,0.882416,1,0
4,multitone,distributed,0.25,0.995736,0.742909,2.54417,0.884313,0.330534,0.151606,0.859258,0.25,0.75
4,multitone,concentrated,0.25,0.994382,0.731333,2.66876,0.90258,0.278344,0.151606,0.870085,1,0
4,transient_burst,distributed,0.25,0.999508,0.29025,10.7403,0.849541,0.429883,0.209573,0.840836,0.25,0.75
4,transient_burst,concentrated,0.25,0.999354,0.266317,11.4864,0.873298,0.362006,0.209573,0.854367,1,0
4,lf_heavy,distributed,0.25,0.999703,0.913449,0.783731,0.76764,0.663885,0.287779,0.793722,0.25,0.75
4,lf_heavy,concentrated,0.25,0.999419,0.905499,0.85719,0.804329,0.55906,0.287779,0.812481,1,0
4,hf_heavy,distributed,0.25,0.994145,0.79625,1.92801,0.892933,0.305904,0.150224,0.865532,0.25,0.75
4,hf_heavy,concentrated,0.25,0.992442,0.786656,2.01841,0.909839,0.257604,0.150224,0.875691,1,0
4,two_tone_imd,distributed,0.25,0.995873,0.770811,2.22512,0.868777,0.374924,0.165564,0.849636,0.25,0.75
4,two_tone_imd,concentrated,0.25,0.994345,0.760132,2.33297,0.889496,0.315726,0.165564,0.861663,1,0
8,multitone,distributed,0.25,0.996399,0.746948,2.50286,0.868251,0.376427,0.151606,0.829514,0.125,0.875
8,multitone,concentrated,0.25,0.994838,0.732339,2.66081,0.891898,0.308863,0.151606,0.842618,1,0
