family,channel_count,stimulus,distribution,peak,rms,crest_db,rail_sag,activity
British_ClassA_Discrete,1,multitone,distributed,0.166088,0.0789974,6.45453,0.0282807,0.103041
British_ClassA_Discrete,1,multitone,concentrated,0.166088,0.0789974,6.45453,0.0282807,0.103041
British_ClassA_Discrete,1,transient_burst,distributed,0.212735,0.0206828,20.2446,0.00232629,0.0114989
British_ClassA_Discrete,1,transient_burst,concentrated,0.212735,0.0206828,20.2446,0.00232629,0.0114989
British_ClassA_Discrete,1,lf_heavy,distributed,0.119353,0.08173,3.28907,0.0303639,0.110644
British_ClassA_Discrete,1,lf_heavy,concentrated,0.119353,0.08173,3.28907,0.0303639,0.110644
British_ClassA_Discrete,1,hf_heavy,distributed,0.145502,0.0800189,5.19355,0.0288515,0.105134
British_ClassA_Discrete,1,hf_heavy,concentrated,0.145502,0.0800189,5.19355,0.0288515,0.105134
British_ClassA_Discrete,1,two_tone_imd,distributed,0.147313,0.0796329,5.34297,0.0280039,0.102045
British_ClassA_Discrete,1,two_tone_imd,concentrated,0.147313,0.0796329,5.34297,0.0280039,0.102045
British_ClassA_Discrete,2,multitone,distributed,0.202221,0.0859781,7.42876,0.0282807,0.0515207
British_ClassA_Discrete,2,multitone,concentrated,0.166088,0.0789974,6.45453,0.0282807,0.0515207
British_ClassA_Discrete,2,transient_burst,distributed,0.425393,0.0382692,20.9188,0.00232629,0.00574943
British_ClassA_Discrete,2,transient_burst,concentrated,0.212735,0.0206828,20.2446,0.00232629,0.00574943
British_ClassA_Discrete,2,lf_heavy,distributed,0.129891,0.0868582,3.4954,0.0303639,0.055322
British_ClassA_Discrete,2,lf_heavy,concentrated,0.119353,0.08173,3.28907,0.0303639,0.055322
British_ClassA_Discrete,2,hf_heavy,distributed,0.166912,0.0863425,5.72528,0.0288515,0.052567
British_ClassA_Discrete,2,hf_heavy,concentrated,0.145502,0.0800189,5.19355,0.0288515,0.052567
British_ClassA_Discrete,2,two_tone_imd,distributed,0.169744,0.0862408,5.88164,0.0280039,0.0510225
British_ClassA_Discrete,2,two_tone_imd,concentrated,0.147313,0.0796329,5.34297,0.0280039,0.0510225
British_ClassA_Discrete,4,multitone,distributed,0.214278,0.0880504,7.72492,0.0282807,0.0257603
British_ClassA_Discrete,4,multitone,concentrated,0.166088,0.0789974,6.45453,0.0282807,0.0257603
British_ClassA_Discrete,4,transient_burst,distributed,0.823071,0.0615542,22.5236,0.00232629,0.00287472
British_ClassA_Discrete,4,transient_burst,concentrated,0.212735,0.0206828,20.2446,0.00232629,0.00287472
British_ClassA_Discrete,4,lf_heavy,distributed,0.132798,0.0882403,3.55051,0.0303639,0.027661
British_ClassA_Discrete,4,lf_heavy,concentrated,0.119353,0.08173,3.28907,0.0303639,0.027661
British_ClassA_Discrete,4,hf_heavy,distributed,0.173367,0.0881376,5.87611,0.0288515,0.0262835
British_ClassA_Discrete,4,hf_heavy,concentrated,0.145502,0.0800189,5.19355,0.0288515,0.0262835
British_ClassA_Discrete,4,two_tone_imd,distributed,0.176558,0.0881288,6.0354,0.0280039,0.0255112
British_ClassA_Discrete,4,two_tone_imd,concentrated,0.147313,0.0796329,5.34297,0.0280039,0.0255112
British_ClassA_Discrete,8,multitone,distributed,0.217451,0.0885704,7.80147,0.0282807,0.0128802
British_ClassA_Discrete,8,multitone,concentrated,0.166088,0.0789974,6.45453,0.0282807,0.0128802
British_ClassA_Discrete,8,transient_burst,distributed,1.28498,0.0791699,24.2067,0.00232629,0.00143736
British_ClassA_Discrete,8,transient_burst,concentrated,0.212735,0.0206828,20.2446,0.00232629,0.00143736
British_ClassA_Discrete,8,lf_heavy,distributed,0.133507,0.0885728,3.5641,0.0303639,0.0138305
British_ClassA_Discrete,8,lf_heavy,concentrated,0.119353,0.08173,3.28907,0.0303639,0.0138305
British_ClassA_Discrete,8,hf_heavy,distributed,0.175002,0.0885797,5.91418,0.0288515,0.0131417
British_ClassA_Discrete,8,hf_heavy,concentrated,0.145502,0.0800189,5.19355,0.0288515,0.0131417
British_ClassA_Discrete,8,two_tone_imd,distributed,0.178289,0.0885952,6.07429,0.0280039,0.0127556
British_ClassA_Discrete,8,two_tone_imd,concentrated,0.147313,0.0796329,5.34297,0.0280039,0.0127556
British_ClassA_Discrete,16,multitone,distributed,0.218207,0.0886887,7.82001,0.0282807,0.00644009
British_ClassA_Discrete,16,multitone,concentrated,0.166088,0.0789974,6.45453,0.0282807,0.00644009
British_ClassA_Discrete,16,transient_burst,distributed,1.53671,0.0865512,24.9864,0.00232629,0.000718679
British_ClassA_Discrete,16,transient_burst,concentrated,0.212735,0.0206828,20.2446,0.00232629,0.000718679
British_ClassA_Discrete,16,lf_heavy,distributed,0.133666,0.0886452,3.56729,0.0303639,0.00691525
British_ClassA_Discrete,16,lf_heavy,concentrated,0.119353,0.08173,3.28907,0.0303639,0.00691525
British_ClassA_Discrete,16,hf_heavy,distributed,0.175381,0.0886787,5.92327,0.0288515,0.00657087
British_ClassA_Discrete,16,hf_heavy,concentrated,0.145502,0.0800189,5.19355,0.0288515,0.00657087
British_ClassA_Discrete,16,two_tone_imd,distributed,0.178691,0.0886999,6.08359,0.0280039,0.00637781
British_ClassA_Discrete,16,two_tone_imd,concentrated,0.147313,0.0796329,5.34297,0.0280039,0.00637781
British_ClassA_Discrete,24,multitone,distributed,0.218331,0.0887066,7.82319,0.0282807,0.00429339
British_ClassA_Discrete,24,multitone,concentrated,0.166088,0.0789974,6.45453,0.0282807,0.00429339
British_ClassA_Discrete,24,transient_burst,distributed,1.59629,0.0881369,25.1591,0.00232629,0.00047912
British_ClassA_Discrete,24,transient_burst,concentrated,0.212735,0.0206828,20.2446,0.00232629,0.00047912
British_ClassA_Discrete,24,lf_heavy,distributed,0.133689,0.0886552,3.56781,0.0303639,0.00461016
British_ClassA_Discrete,24,lf_heavy,concentrated,0.119353,0.08173,3.28907,0.0303639,0.00461016
British_ClassA_Discrete,24,hf_heavy,distributed,0.175441,0.0886933,5.9248,0.0288515,0.00438058
British_ClassA_Discrete,24,hf_heavy,concentrated,0.145502,0.0800189,5.19355,0.0288515,0.00438058
British_ClassA_Discrete,24,two_tone_imd,distributed,0.178755,0.0887155,6.08516,0.0280039,0.00425187
British_ClassA_Discrete,24,two_tone_imd,concentrated,0.147313,0.0796329,5.34297,0.0280039,0.00425187
