channel_count,stimulus,distribution,fixed_trim,rms_normalized_per_count
1,multitone,distributed,True,False
1,multitone,concentrated,True,False
1,transient_burst,distributed,True,False
1,transient_burst,concentrated,True,False
1,lf_heavy,distributed,True,False
1,lf_heavy,concentrated,True,False
1,hf_heavy,distributed,True,False
1,hf_heavy,concentrated,True,False
1,two_tone_imd,distributed,True,False
1,two_tone_imd,concentrated,True,False
2,multitone,distributed,True,False
2,multitone,concentrated,True,False
2,transient_burst,distributed,True,False
2,transient_burst,concentrated,True,False
2,lf_heavy,distributed,True,False
2,lf_heavy,concentrated,True,False
2,hf_heavy,distributed,True,False
2,hf_heavy,concentrated,True,False
2,two_tone_imd,distributed,True,False
2,two_tone_imd,concentrated,True,False
4,multitone,distributed,True,False
4,multitone,concentrated,True,False
4,transient_burst,distributed,True,False
4,transient_burst,concentrated,True,False
4,lf_heavy,distributed,True,False
4,lf_heavy,concentrated,True,False
4,hf_heavy,distributed,True,False
4,hf_heavy,concentrated,True,False
4,two_tone_imd,distributed,True,False
4,two_tone_imd,concentrated,True,False
8,multitone,distributed,True,False
8,multitone,concentrated,True,False
8,transient_burst,distributed,True,False
8,transient_burst,concentrated,True,False
8,lf_heavy,distributed,True,False
8,lf_heavy,concentrated,True,False
8,hf_heavy,distributed,True,False
8,hf_heavy,concentrated,True,False
8,two_tone_imd,distributed,True,False
8,two_tone_imd,concentrated,True,False
16,multitone,distributed,True,False
16,multitone,concentrated,True,False
16,transient_burst,distributed,True,False
16,transient_burst,concentrated,True,False
16,lf_heavy,distributed,True,False
16,lf_heavy,concentrated,True,False
16,hf_heavy,distributed,True,False
16,hf_heavy,concentrated,True,False
16,two_tone_imd,distributed,True,False
16,two_tone_imd,concentrated,True,False
24,multitone,distributed,True,False
24,multitone,concentrated,True,False
24,transient_burst,distributed,True,False
24,transient_burst,concentrated,True,False
24,lf_heavy,distributed,True,False
24,lf_heavy,concentrated,True,False
24,hf_heavy,distributed,True,False
24,hf_heavy,concentrated,True,False
24,two_tone_imd,distributed,True,False
24,two_tone_imd,concentrated,True,False
